indicator,Sea surface temperature ,Sea surface temperature ,Sea surface temperature 
units ,standardized monthly anomaly,standardized monthly anomaly,standardized monthly anomaly
extent,western subregion,central subregion,eastern subregion
Dec1991,-0.126247417,-0.859145758,-0.56649476
Jan1992,-0.078664795,-0.621732037,-0.570412927
Feb1992,-0.132021513,-0.463106658,-0.814164181
Mar1992,-0.185565527,-0.379518991,-0.831919532
Apr1992,-0.211701273,-0.498767511,-0.792706514
May1992,-0.422898417,-0.681863874,-0.830889896
Jun1992,-0.561854283,-0.695789776,-0.767001442
Jul1992,-0.842381355,-0.8673081,-0.910879115
Aug1992,-0.909745942,-0.901427142,-0.66497101
Sep1992,-1.061059936,-0.792385259,-0.65527519
Oct1992,-0.955546808,-0.376854097,-0.490097315
Nov1992,-0.743931348,0.104068357,-0.352860182
Dec1992,-0.723552074,0.308488467,-0.496469087
Jan1993,-0.668624388,0.402061857,-0.47631561
Feb1993,-0.612412059,0.388018484,-0.654456386
Mar1993,-0.627207195,0.085427803,-0.688690198
Apr1993,-0.691398157,-0.293047879,-0.769143181
May1993,-0.454366909,-0.477897403,-0.646980048
Jun1993,-0.192514674,-0.615491795,-0.333885196
Jul1993,0.12646081,-0.53688135,-0.116846382
Aug1993,0.218244996,-0.631730847,0.024762131
Sep1993,0.313075516,-0.543214813,-0.110916374
Oct1993,0.153816252,-0.330194805,-0.468837119
Nov1993,-0.082627924,-0.31586122,-0.6429781
Dec1993,-0.271816065,-0.396061497,-0.775688549
Jan1994,-0.373239999,-0.541401363,-0.662339025
Feb1994,-0.105220807,-0.180670315,-0.291565388
Mar1994,-0.065611057,-0.017415754,-0.155222927
Apr1994,-0.001761401,-0.237716013,-0.050193375
May1994,-0.330237073,-0.572961231,-0.375484799
Jun1994,-0.360084461,-0.611944935,-0.60279169
Jul1994,-0.44710737,-0.678279319,-0.757598087
Aug1994,-0.329516019,-0.668849092,-0.88973129
Sep1994,-0.198113886,-0.556401879,-0.684476335
Oct1994,-0.299604146,-0.443475843,-0.529012446
Nov1994,-0.052820156,0.079706384,-0.381091039
Dec1994,0.076709287,0.436718807,-0.1980131
Jan1995,0.217025805,0.646033167,-0.073353526
Feb1995,0.123090079,0.557432436,0.116828471
Mar1995,-0.082506301,0.333905511,-0.0739377
Apr1995,-0.001354947,0.494679009,-0.226826991
May1995,0.097856057,0.42076378,-0.177997545
Jun1995,0.322630143,0.530811251,-0.088935564
Jul1995,0.16757574,0.493138371,-0.108593776
Aug1995,-0.086772208,0.338710828,-0.429724725
Sep1995,0.026938777,0.276239047,-0.428476081
Oct1995,-0.076777002,0.093644393,-0.317090837
Nov1995,-0.133804246,-0.094644535,-0.109451394
Dec1995,-0.548856291,-0.678348892,-0.32795094
Jan1996,-0.639302259,-1.020819498,-0.583280773
Feb1996,-0.553677616,-1.006054453,-0.487769579
Mar1996,-0.537723701,-0.902828877,-0.35126362
Apr1996,-0.37022544,-0.858233871,-0.29854462
May1996,-0.446380549,-1.000922416,-0.410017052
Jun1996,-0.238071901,-0.779026064,-0.130361584
Jul1996,-0.19331753,-0.606261631,-0.009952944
Aug1996,-0.258779464,-0.536242343,-0.033254727
Sep1996,-0.435447678,-0.685112286,-0.04594374
Oct1996,-0.425152638,-0.592202833,0.075968432
Nov1996,-0.280279984,-0.452077763,0.323981991
Dec1996,-0.177700561,-0.358575525,0.418600245
Jan1997,-0.147133643,-0.376624574,0.490775748
Feb1997,-0.340118186,-0.624565081,0.35894728
Mar1997,-0.381623583,-0.597258581,0.006071481
Apr1997,-0.298403838,-0.493519484,-0.031240328
May1997,-0.259434277,-0.464998311,-0.125327271
Jun1997,-0.360989214,-0.498858813,-0.312031007
Jul1997,-0.275132386,-0.435067316,-0.173218808
Aug1997,-0.298243297,-0.373473465,-0.344008801
Sep1997,-0.286136241,-0.306009073,-0.255078923
Oct1997,-0.429951683,-0.429234404,-0.357583011
Nov1997,-0.675526432,-0.286185734,-0.607293126
Dec1997,-1.021765996,-0.409486321,-0.81832757
