indicator,Net primary productivity in the northern Gulf of Mexico,Net primary productivity in the northern Gulf of Mexico
units,standardized monthly anomaly,mg of Carbon per square m per day
extent,northern Gulf of Mexico deeper than 1000 ft and north of 25.768N latitude,northern Gulf of Mexico deeper than 1000 ft and north of 25.768N latitude
Sep2012,-0.651322358,583.1335
Oct2012,-1.236552435,483.029
Nov2012,-1.095225793,452.933
Dec2012,-1.099707862,438.349
Jan2013,-1.252695836,457.7465
Feb2013,0.4497892,539.5915
Mar2013,0.815398402,612.3945
Apr2013,-1.062263459,488.577
May2013,-0.912799941,524.626
Jun2013,0.49678651,840.009
Jul2013,0.261527136,954.5765
Aug2013,0.450786944,914.0555
Sep2013,0.534452529,634.6955
Oct2013,0.50046564,548.2755
Nov2013,-0.960702338,457.854
Dec2013,-1.365267214,429.5915
Jan2014,1.219778217,538.9185
Feb2014,1.028045328,561.7495
Mar2014,-0.179531099,526.2745
Apr2014,-0.730647715,503.665
May2014,-0.491390743,560.369
Jun2014,0.347793991,818.412
Jul2014,0.649317103,1036.026
Aug2014,1.522860547,1094.521
Sep2014,0.540868711,634.9745
Oct2014,0.908294105,563.5945
Nov2014,1.688010099,554.7465
Dec2014,-0.205281525,467.845
Jan2015,0.202363612,505.5165
Feb2015,0.695831206,549.0195
Mar2015,0.037846902,545.0905
Apr2015,-0.055734508,534.3725
May2015,1.114545794,696.581
Jun2015,0.78041523,881.122
Jul2015,1.858517443,1290.0005
Aug2015,2.373011104,1237.6295
Sep2015,2.6776759,727.891
Oct2015,2.275407317,614.9465
Nov2015,1.335108138,541.837
Dec2015,1.024554689,508.402
